"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"正德佛堂","2K+","November 8, 2025 at 6:40:00 PM UTC+8","November 10, 2025 at 9:20:00 AM UTC+8","正德佛堂","https://trends.google.com/trends/explore?q=%E6%AD%A3%E5%BE%B7%E4%BD%9B%E5%A0%82&geo=TW&hl=en-US"
"趙露思","2K+","November 9, 2025 at 12:20:00 AM UTC+8","November 10, 2025 at 7:00:00 AM UTC+8","趙露思","https://trends.google.com/trends/explore?q=%E8%B6%99%E9%9C%B2%E6%80%9D&geo=TW&hl=en-US"
"苗栗縣長","200+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 9:20:00 PM UTC+8","苗栗縣長","https://trends.google.com/trends/explore?q=%E8%8B%97%E6%A0%97%E7%B8%A3%E9%95%B7&geo=TW&hl=en-US"
"12強","1K+","November 10, 2025 at 10:10:00 AM UTC+8","November 11, 2025 at 8:10:00 PM UTC+8","12強","https://trends.google.com/trends/explore?q=12%E5%BC%B7&geo=TW&hl=en-US"
"東吳大學","1K+","November 10, 2025 at 8:10:00 PM UTC+8","November 11, 2025 at 8:00:00 AM UTC+8","東吳大學","https://trends.google.com/trends/explore?q=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8&geo=TW&hl=en-US"
"公鹿 對 火箭","2K+","November 10, 2025 at 5:10:00 AM UTC+8","November 10, 2025 at 1:20:00 PM UTC+8","公鹿 對 火箭","https://trends.google.com/trends/explore?q=%E5%85%AC%E9%B9%BF%20%E5%B0%8D%20%E7%81%AB%E7%AE%AD&geo=TW&hl=en-US"
"郭書瑤","2K+","November 7, 2025 at 4:10:00 PM UTC+8","November 9, 2025 at 11:20:00 AM UTC+8","郭書瑤,春風","https://trends.google.com/trends/explore?q=%E9%83%AD%E6%9B%B8%E7%91%A4&geo=TW&hl=en-US"
"賴佩霞","500+","November 11, 2025 at 6:20:00 PM UTC+8","November 11, 2025 at 8:00:00 PM UTC+8","賴佩霞","https://trends.google.com/trends/explore?q=%E8%B3%B4%E4%BD%A9%E9%9C%9E&geo=TW&hl=en-US"
"twitch","5K+","November 9, 2025 at 2:30:00 PM UTC+8","November 9, 2025 at 8:40:00 PM UTC+8","twitch","https://trends.google.com/trends/explore?q=twitch&geo=TW&hl=en-US"
"新北市長","5K+","November 11, 2025 at 8:10:00 PM UTC+8","November 11, 2025 at 9:10:00 PM UTC+8","新北市長,蘇巧慧,李四川,陳品安,劉和然","https://trends.google.com/trends/explore?q=%E6%96%B0%E5%8C%97%E5%B8%82%E9%95%B7&geo=TW&hl=en-US"
"2408","2K+","November 11, 2025 at 9:20:00 AM UTC+8","November 11, 2025 at 11:40:00 AM UTC+8","2408,南亞科股價,南亞科目標價,華邦電股價,十銓","https://trends.google.com/trends/explore?q=2408&geo=TW&hl=en-US"
"湖人 對 馬刺","10K+","November 6, 2025 at 10:40:00 AM UTC+8","November 6, 2025 at 9:00:00 PM UTC+8","湖人 對 馬刺,湖人對馬刺,nba 線上 看,盧卡·唐西奇","https://trends.google.com/trends/explore?q=%E6%B9%96%E4%BA%BA%20%E5%B0%8D%20%E9%A6%AC%E5%88%BA&geo=TW&hl=en-US"
"記憶體","20K+","November 10, 2025 at 10:10:00 AM UTC+8","November 11, 2025 at 9:50:00 AM UTC+8","記憶體,台股,台股大跌,韓國股市,美股,美光,股市,韓股,美股指數,道瓊指數,日股,美國股市,美股新聞,道瓊,大盤,股市新聞,台股跌,融資餘額,vix指數,那斯達克,台指期盤後,台股大盤,費城半導體指數,道瓊工業指數,費半,三大法人買賣超,美股盤後,adr,美股台積電","https://trends.google.com/trends/explore?q=%E8%A8%98%E6%86%B6%E9%AB%94&geo=TW&hl=en-US"
"高雄火災","1K+","November 10, 2025 at 1:00:00 PM UTC+8","November 10, 2025 at 11:10:00 PM UTC+8","高雄火災","https://trends.google.com/trends/explore?q=%E9%AB%98%E9%9B%84%E7%81%AB%E7%81%BD&geo=TW&hl=en-US"
"fumi阿姨","1K+","November 10, 2025 at 11:20:00 AM UTC+8","November 10, 2025 at 8:20:00 PM UTC+8","fumi阿姨","https://trends.google.com/trends/explore?q=fumi%E9%98%BF%E5%A7%A8&geo=TW&hl=en-US"
"空氣品質","2K+","November 8, 2025 at 6:10:00 AM UTC+8","November 9, 2025 at 11:30:00 AM UTC+8","空氣品質","https://trends.google.com/trends/explore?q=%E7%A9%BA%E6%B0%A3%E5%93%81%E8%B3%AA&geo=TW&hl=en-US"
"美國政府","1K+","November 10, 2025 at 8:30:00 AM UTC+8","November 11, 2025 at 5:30:00 AM UTC+8","美國政府,美國政府開門,道瓊工業平均指數","https://trends.google.com/trends/explore?q=%E7%BE%8E%E5%9C%8B%E6%94%BF%E5%BA%9C&geo=TW&hl=en-US"
"翁章梁","200+","November 11, 2025 at 7:40:00 PM UTC+8","November 11, 2025 at 9:00:00 PM UTC+8","翁章梁","https://trends.google.com/trends/explore?q=%E7%BF%81%E7%AB%A0%E6%A2%81&geo=TW&hl=en-US"
"小鵬機器人","2K+","November 6, 2025 at 4:10:00 PM UTC+8","November 9, 2025 at 3:30:00 AM UTC+8","小鵬機器人","https://trends.google.com/trends/explore?q=%E5%B0%8F%E9%B5%AC%E6%A9%9F%E5%99%A8%E4%BA%BA&geo=TW&hl=en-US"
"創見","1K+","November 11, 2025 at 9:10:00 AM UTC+8","November 11, 2025 at 11:30:00 AM UTC+8","創見,宇瞻,2451","https://trends.google.com/trends/explore?q=%E5%89%B5%E8%A6%8B&geo=TW&hl=en-US"
"特斯拉","5K+","November 7, 2025 at 12:00:00 AM UTC+8","November 8, 2025 at 10:10:00 AM UTC+8","特斯拉","https://trends.google.com/trends/explore?q=%E7%89%B9%E6%96%AF%E6%8B%89&geo=TW&hl=en-US"
"台積電股利","500+","November 11, 2025 at 10:50:00 PM UTC+8","November 11, 2025 at 11:50:00 PM UTC+8","台積電股利,台積電營收","https://trends.google.com/trends/explore?q=%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%82%A1%E5%88%A9&geo=TW&hl=en-US"
"王宇婕","2K+","November 7, 2025 at 12:20:00 AM UTC+8","November 9, 2025 at 11:20:00 PM UTC+8","王宇婕","https://trends.google.com/trends/explore?q=%E7%8E%8B%E5%AE%87%E5%A9%95&geo=TW&hl=en-US"
"高雄榮總","200+","November 11, 2025 at 7:50:00 PM UTC+8","November 11, 2025 at 9:10:00 PM UTC+8","高雄榮總","https://trends.google.com/trends/explore?q=%E9%AB%98%E9%9B%84%E6%A6%AE%E7%B8%BD&geo=TW&hl=en-US"
"紐約市長","5K+","November 5, 2025 at 11:20:00 AM UTC+8","November 7, 2025 at 9:30:00 AM UTC+8","紐約市長,紐約市長選舉,曼達尼,美國選舉","https://trends.google.com/trends/explore?q=%E7%B4%90%E7%B4%84%E5%B8%82%E9%95%B7&geo=TW&hl=en-US"
"馬刺 對 鵜鶘","2K+","November 9, 2025 at 9:10:00 AM UTC+8","November 9, 2025 at 3:40:00 PM UTC+8","馬刺 對 鵜鶘,德亞倫·福克斯","https://trends.google.com/trends/explore?q=%E9%A6%AC%E5%88%BA%20%E5%B0%8D%20%E9%B5%9C%E9%B6%98&geo=TW&hl=en-US"
"快艇 對 太陽","5K+","November 9, 2025 at 11:20:00 AM UTC+8","November 9, 2025 at 4:20:00 PM UTC+8","快艇 對 太陽,太陽 對 快艇,布拉德利·比爾,凱文·杜蘭特","https://trends.google.com/trends/explore?q=%E5%BF%AB%E8%89%87%20%E5%B0%8D%20%E5%A4%AA%E9%99%BD&geo=TW&hl=en-US"
"南亞科","2K+","November 11, 2025 at 9:20:00 AM UTC+8","November 11, 2025 at 10:40:00 AM UTC+8","南亞科,旺宏股票","https://trends.google.com/trends/explore?q=%E5%8D%97%E4%BA%9E%E7%A7%91&geo=TW&hl=en-US"
"pluribus","1K+","November 8, 2025 at 12:30:00 AM UTC+8","November 10, 2025 at 2:40:00 AM UTC+8","pluribus","https://trends.google.com/trends/explore?q=pluribus&geo=TW&hl=en-US"
"宋承憲","2K+","November 6, 2025 at 7:30:00 PM UTC+8","November 9, 2025 at 1:00:00 AM UTC+8","宋承憲","https://trends.google.com/trends/explore?q=%E5%AE%8B%E6%89%BF%E6%86%B2&geo=TW&hl=en-US"
"man city vs liverpool","1K+","November 10, 2025 at 12:20:00 AM UTC+8","November 10, 2025 at 9:00:00 AM UTC+8","man city vs liverpool,man city","https://trends.google.com/trends/explore?q=man%20city%20vs%20liverpool&geo=TW&hl=en-US"
"全支付被盜","5K+","November 6, 2025 at 7:30:00 AM UTC+8","November 7, 2025 at 8:50:00 AM UTC+8","全支付被盜,全支付詐騙,街口,全聯,全聯全支付,ipass money","https://trends.google.com/trends/explore?q=%E5%85%A8%E6%94%AF%E4%BB%98%E8%A2%AB%E7%9B%9C&geo=TW&hl=en-US"
"王傳一","2K+","November 6, 2025 at 8:10:00 PM UTC+8","November 8, 2025 at 11:40:00 AM UTC+8","王傳一,王傳一老婆","https://trends.google.com/trends/explore?q=%E7%8E%8B%E5%82%B3%E4%B8%80&geo=TW&hl=en-US"
"hornets vs lakers","500+","November 11, 2025 at 8:40:00 AM UTC+8","November 11, 2025 at 11:40:00 AM UTC+8","hornets vs lakers","https://trends.google.com/trends/explore?q=hornets%20vs%20lakers&geo=TW&hl=en-US"
"酷彭","500+","November 11, 2025 at 10:40:00 AM UTC+8","November 11, 2025 at 11:20:00 PM UTC+8","酷彭","https://trends.google.com/trends/explore?q=%E9%85%B7%E5%BD%AD&geo=TW&hl=en-US"
"thời tiết ngày mai","2K+","November 10, 2025 at 8:40:00 PM UTC+8","November 10, 2025 at 11:40:00 PM UTC+8","thời tiết ngày mai,thời tiết","https://trends.google.com/trends/explore?q=th%E1%BB%9Di%20ti%E1%BA%BFt%20ng%C3%A0y%20mai&geo=TW&hl=en-US"
"台灣","200+","November 11, 2025 at 7:50:00 PM UTC+8","November 11, 2025 at 9:00:00 PM UTC+8","台灣","https://trends.google.com/trends/explore?q=%E5%8F%B0%E7%81%A3&geo=TW&hl=en-US"
"巫師 對 獨行俠","2K+","November 9, 2025 at 8:00:00 AM UTC+8","November 9, 2025 at 3:20:00 PM UTC+8","巫師 對 獨行俠","https://trends.google.com/trends/explore?q=%E5%B7%AB%E5%B8%AB%20%E5%B0%8D%20%E7%8D%A8%E8%A1%8C%E4%BF%A0&geo=TW&hl=en-US"
"邱品蒨","1K+","November 9, 2025 at 10:40:00 AM UTC+8","November 10, 2025 at 3:10:00 AM UTC+8","邱品蒨,韓國羽球大師賽,韓國名人賽","https://trends.google.com/trends/explore?q=%E9%82%B1%E5%93%81%E8%92%A8&geo=TW&hl=en-US"
"定穎投控","1K+","November 11, 2025 at 9:10:00 AM UTC+8","November 11, 2025 at 11:00:00 AM UTC+8","定穎投控,尖點,3715,定穎","https://trends.google.com/trends/explore?q=%E5%AE%9A%E7%A9%8E%E6%8A%95%E6%8E%A7&geo=TW&hl=en-US"
"曼城 對 利物浦","1K+","November 10, 2025 at 12:10:00 AM UTC+8","November 10, 2025 at 8:50:00 AM UTC+8","曼城 對 利物浦,曼城","https://trends.google.com/trends/explore?q=%E6%9B%BC%E5%9F%8E%20%E5%B0%8D%20%E5%88%A9%E7%89%A9%E6%B5%A6&geo=TW&hl=en-US"
"仙塔律師","200+","November 11, 2025 at 3:10:00 PM UTC+8","November 11, 2025 at 6:40:00 PM UTC+8","仙塔律師","https://trends.google.com/trends/explore?q=%E4%BB%99%E5%A1%94%E5%BE%8B%E5%B8%AB&geo=TW&hl=en-US"
"西瓜卡","100+","November 11, 2025 at 6:50:00 PM UTC+8","November 11, 2025 at 8:40:00 PM UTC+8","西瓜卡","https://trends.google.com/trends/explore?q=%E8%A5%BF%E7%93%9C%E5%8D%A1&geo=TW&hl=en-US"
"陳文茜","2K+","November 7, 2025 at 8:40:00 AM UTC+8","November 8, 2025 at 6:50:00 PM UTC+8","陳文茜","https://trends.google.com/trends/explore?q=%E9%99%B3%E6%96%87%E8%8C%9C&geo=TW&hl=en-US"
"北港朝天宮","1K+","November 9, 2025 at 5:00:00 AM UTC+8","November 9, 2025 at 9:50:00 PM UTC+8","北港朝天宮","https://trends.google.com/trends/explore?q=%E5%8C%97%E6%B8%AF%E6%9C%9D%E5%A4%A9%E5%AE%AE&geo=TW&hl=en-US"
"彰基","100+","November 11, 2025 at 9:10:00 PM UTC+8","November 11, 2025 at 10:20:00 PM UTC+8","彰基","https://trends.google.com/trends/explore?q=%E5%BD%B0%E5%9F%BA&geo=TW&hl=en-US"
"舒跑杯","2K+","November 8, 2025 at 6:30:00 PM UTC+8","November 9, 2025 at 12:00:00 PM UTC+8","舒跑杯,舒跑杯台中,舒跑盃","https://trends.google.com/trends/explore?q=%E8%88%92%E8%B7%91%E6%9D%AF&geo=TW&hl=en-US"
"立冬吃湯圓","2K+","November 7, 2025 at 6:30:00 AM UTC+8","November 8, 2025 at 12:30:00 AM UTC+8","立冬吃湯圓","https://trends.google.com/trends/explore?q=%E7%AB%8B%E5%86%AC%E5%90%83%E6%B9%AF%E5%9C%93&geo=TW&hl=en-US"
"momo","20K+","November 6, 2025 at 7:50:00 PM UTC+8","November 7, 2025 at 9:30:00 AM UTC+8","momo","https://trends.google.com/trends/explore?q=momo&geo=TW&hl=en-US"
"ups","5K+","November 5, 2025 at 7:30:00 AM UTC+8","November 7, 2025 at 10:00:00 AM UTC+8","ups,md-11","https://trends.google.com/trends/explore?q=ups&geo=TW&hl=en-US"
"中國信託","5K+","November 7, 2025 at 11:00:00 PM UTC+8","November 8, 2025 at 10:00:00 AM UTC+8","中國信託,中信,中國信託當機,中國信託網路銀行","https://trends.google.com/trends/explore?q=%E4%B8%AD%E5%9C%8B%E4%BF%A1%E8%A8%97&geo=TW&hl=en-US"
"磁暴","2K+","November 6, 2025 at 9:40:00 PM UTC+8","November 8, 2025 at 9:20:00 AM UTC+8","磁暴,磁爆","https://trends.google.com/trends/explore?q=%E7%A3%81%E6%9A%B4&geo=TW&hl=en-US"
"日東紡股價","500+","November 11, 2025 at 12:30:00 PM UTC+8","November 12, 2025 at 1:50:00 AM UTC+8","日東紡股價,富喬","https://trends.google.com/trends/explore?q=%E6%97%A5%E6%9D%B1%E7%B4%A1%E8%82%A1%E5%83%B9&geo=TW&hl=en-US"
"台北市政府","1K+","November 10, 2025 at 7:50:00 PM UTC+8","November 10, 2025 at 10:20:00 PM UTC+8","台北市政府","https://trends.google.com/trends/explore?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%94%BF%E5%BA%9C&geo=TW&hl=en-US"
"小川智大","2K+","November 5, 2025 at 12:00:00 PM UTC+8","November 6, 2025 at 1:20:00 PM UTC+8","小川智大","https://trends.google.com/trends/explore?q=%E5%B0%8F%E5%B7%9D%E6%99%BA%E5%A4%A7&geo=TW&hl=en-US"
"馬刺 對 火箭","2K+","November 8, 2025 at 8:20:00 AM UTC+8","November 8, 2025 at 3:50:00 PM UTC+8","馬刺 對 火箭","https://trends.google.com/trends/explore?q=%E9%A6%AC%E5%88%BA%20%E5%B0%8D%20%E7%81%AB%E7%AE%AD&geo=TW&hl=en-US"
"0050","10K+","November 7, 2025 at 9:40:00 AM UTC+8","November 7, 2025 at 2:10:00 PM UTC+8","0050","https://trends.google.com/trends/explore?q=0050&geo=TW&hl=en-US"
"ateez","500+","November 10, 2025 at 11:30:00 AM UTC+8","November 10, 2025 at 6:30:00 PM UTC+8","ateez","https://trends.google.com/trends/explore?q=ateez&geo=TW&hl=en-US"
"特斯拉車禍","2K+","November 7, 2025 at 12:20:00 PM UTC+8","November 9, 2025 at 8:40:00 AM UTC+8","特斯拉車禍,恆春車禍","https://trends.google.com/trends/explore?q=%E7%89%B9%E6%96%AF%E6%8B%89%E8%BB%8A%E7%A6%8D&geo=TW&hl=en-US"
"澎湖","1K+","November 10, 2025 at 6:20:00 PM UTC+8","November 10, 2025 at 9:00:00 PM UTC+8","澎湖,立榮航空","https://trends.google.com/trends/explore?q=%E6%BE%8E%E6%B9%96&geo=TW&hl=en-US"
"灰熊 對 獨行俠","5K+","November 8, 2025 at 9:20:00 AM UTC+8","November 8, 2025 at 2:40:00 PM UTC+8","灰熊 對 獨行俠,獨行俠 對 鵜鶘,庫珀·弗拉格,克萊·湯普森","https://trends.google.com/trends/explore?q=%E7%81%B0%E7%86%8A%20%E5%B0%8D%20%E7%8D%A8%E8%A1%8C%E4%BF%A0&geo=TW&hl=en-US"
"西脇綾香","200+","November 11, 2025 at 1:20:00 PM UTC+8","November 11, 2025 at 3:20:00 PM UTC+8","西脇綾香","https://trends.google.com/trends/explore?q=%E8%A5%BF%E8%84%87%E7%B6%BE%E9%A6%99&geo=TW&hl=en-US"
"vesia","2K+","November 8, 2025 at 7:50:00 AM UTC+8","November 8, 2025 at 4:20:00 PM UTC+8","vesia,alex vesia","https://trends.google.com/trends/explore?q=vesia&geo=TW&hl=en-US"
"休假","100+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 9:10:00 PM UTC+8","休假","https://trends.google.com/trends/explore?q=%E4%BC%91%E5%81%87&geo=TW&hl=en-US"
"嘉義大學","200+","November 11, 2025 at 8:20:00 PM UTC+8","November 11, 2025 at 9:10:00 PM UTC+8","嘉義大學","https://trends.google.com/trends/explore?q=%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8&geo=TW&hl=en-US"
"costco","1K+","November 11, 2025 at 5:40:00 AM UTC+8","November 11, 2025 at 11:40:00 AM UTC+8","costco","https://trends.google.com/trends/explore?q=costco&geo=TW&hl=en-US"
"記憶體概念股","2K+","November 11, 2025 at 8:00:00 AM UTC+8","November 11, 2025 at 10:10:00 AM UTC+8","記憶體概念股,十銓,美股大跌,美股開盤,美光,記憶體報價,至上","https://trends.google.com/trends/explore?q=%E8%A8%98%E6%86%B6%E9%AB%94%E6%A6%82%E5%BF%B5%E8%82%A1&geo=TW&hl=en-US"
"rayo vs madrid","500+","November 9, 2025 at 10:50:00 PM UTC+8","November 10, 2025 at 8:20:00 AM UTC+8","rayo vs madrid","https://trends.google.com/trends/explore?q=rayo%20vs%20madrid&geo=TW&hl=en-US"
"蔡英文","200+","November 11, 2025 at 12:50:00 PM UTC+8","November 11, 2025 at 8:30:00 PM UTC+8","蔡英文","https://trends.google.com/trends/explore?q=%E8%94%A1%E8%8B%B1%E6%96%87&geo=TW&hl=en-US"
"tvbs","100+","November 11, 2025 at 8:00:00 PM UTC+8","November 11, 2025 at 9:00:00 PM UTC+8","tvbs","https://trends.google.com/trends/explore?q=tvbs&geo=TW&hl=en-US"
"國王 對 雷霆","2K+","November 8, 2025 at 10:50:00 AM UTC+8","November 8, 2025 at 6:00:00 PM UTC+8","國王 對 雷霆","https://trends.google.com/trends/explore?q=%E5%9C%8B%E7%8E%8B%20%E5%B0%8D%20%E9%9B%B7%E9%9C%86&geo=TW&hl=en-US"
"msci","2K+","November 6, 2025 at 6:40:00 AM UTC+8","November 7, 2025 at 10:10:00 AM UTC+8","msci,msci 調整,信驊","https://trends.google.com/trends/explore?q=msci&geo=TW&hl=en-US"
"toyz","2K+","November 7, 2025 at 9:20:00 AM UTC+8","November 8, 2025 at 5:00:00 AM UTC+8","toyz","https://trends.google.com/trends/explore?q=toyz&geo=TW&hl=en-US"
"黃沐妍","5K+","November 5, 2025 at 8:50:00 AM UTC+8","November 6, 2025 at 1:00:00 AM UTC+8","黃沐妍,粿粿懷孕","https://trends.google.com/trends/explore?q=%E9%BB%83%E6%B2%90%E5%A6%8D&geo=TW&hl=en-US"
"東森新聞","500+","November 10, 2025 at 6:40:00 AM UTC+8","November 11, 2025 at 9:20:00 PM UTC+8","東森新聞","https://trends.google.com/trends/explore?q=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9E&geo=TW&hl=en-US"
"suica","200+","November 11, 2025 at 3:40:00 PM UTC+8","November 11, 2025 at 9:20:00 PM UTC+8","suica","https://trends.google.com/trends/explore?q=suica&geo=TW&hl=en-US"
"林思宏","2K+","November 6, 2025 at 6:20:00 PM UTC+8","November 7, 2025 at 2:10:00 PM UTC+8","林思宏,禾馨集團","https://trends.google.com/trends/explore?q=%E6%9E%97%E6%80%9D%E5%AE%8F&geo=TW&hl=en-US"
"尼克 對 籃網","1K+","November 10, 2025 at 7:30:00 AM UTC+8","November 10, 2025 at 12:10:00 PM UTC+8","尼克 對 籃網","https://trends.google.com/trends/explore?q=%E5%B0%BC%E5%85%8B%20%E5%B0%8D%20%E7%B1%83%E7%B6%B2&geo=TW&hl=en-US"
"辰己涼介","1K+","November 7, 2025 at 6:50:00 PM UTC+8","November 9, 2025 at 8:10:00 AM UTC+8","辰己涼介","https://trends.google.com/trends/explore?q=%E8%BE%B0%E5%B7%B1%E6%B6%BC%E4%BB%8B&geo=TW&hl=en-US"
"寬宏","500+","November 10, 2025 at 10:30:00 AM UTC+8","November 10, 2025 at 7:00:00 PM UTC+8","寬宏","https://trends.google.com/trends/explore?q=%E5%AF%AC%E5%AE%8F&geo=TW&hl=en-US"
"台積電股價","5K+","November 7, 2025 at 9:20:00 AM UTC+8","November 7, 2025 at 2:30:00 PM UTC+8","台積電股價,加權指數,台股指數,大盤,夜盤,大盤指數,台指夜盤","https://trends.google.com/trends/explore?q=%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%82%A1%E5%83%B9&geo=TW&hl=en-US"
"超時空輝耀姬","1K+","November 7, 2025 at 6:10:00 PM UTC+8","November 9, 2025 at 3:20:00 AM UTC+8","超時空輝耀姬","https://trends.google.com/trends/explore?q=%E8%B6%85%E6%99%82%E7%A9%BA%E8%BC%9D%E8%80%80%E5%A7%AC&geo=TW&hl=en-US"
"map","5K+","November 7, 2025 at 9:00:00 AM UTC+8","November 7, 2025 at 5:40:00 PM UTC+8","map","https://trends.google.com/trends/explore?q=map&geo=TW&hl=en-US"
"แมนซิตี พบ ลิเวอร์พูล","500+","November 10, 2025 at 12:40:00 AM UTC+8","November 10, 2025 at 8:00:00 AM UTC+8","แมนซิตี พบ ลิเวอร์พูล","https://trends.google.com/trends/explore?q=%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8B%E0%B8%B4%E0%B8%95%E0%B8%B5%20%E0%B8%9E%E0%B8%9A%20%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9E%E0%B8%B9%E0%B8%A5&geo=TW&hl=en-US"
"李春平","500+","November 9, 2025 at 11:10:00 AM UTC+8","November 10, 2025 at 9:30:00 AM UTC+8","李春平","https://trends.google.com/trends/explore?q=%E6%9D%8E%E6%98%A5%E5%B9%B3&geo=TW&hl=en-US"
"漢唐","200+","November 11, 2025 at 9:50:00 AM UTC+8","November 11, 2025 at 1:50:00 PM UTC+8","漢唐","https://trends.google.com/trends/explore?q=%E6%BC%A2%E5%94%90&geo=TW&hl=en-US"
"洪惇學","2K+","November 5, 2025 at 8:40:00 AM UTC+8","November 6, 2025 at 8:30:00 AM UTC+8","洪惇學","https://trends.google.com/trends/explore?q=%E6%B4%AA%E6%83%87%E5%AD%B8&geo=TW&hl=en-US"
"f1","2K+","November 10, 2025 at 3:00:00 AM UTC+8","November 10, 2025 at 8:00:00 AM UTC+8","f1","https://trends.google.com/trends/explore?q=f1&geo=TW&hl=en-US"
"zohran mamdani","2K+","November 5, 2025 at 10:50:00 AM UTC+8","November 6, 2025 at 12:50:00 PM UTC+8","zohran mamdani,roots,mamdani,word,a","https://trends.google.com/trends/explore?q=zohran%20mamdani&geo=TW&hl=en-US"
"熱火 對 拓荒者","1K+","November 9, 2025 at 9:20:00 AM UTC+8","November 9, 2025 at 4:00:00 PM UTC+8","熱火 對 拓荒者","https://trends.google.com/trends/explore?q=%E7%86%B1%E7%81%AB%20%E5%B0%8D%20%E6%8B%93%E8%8D%92%E8%80%85&geo=TW&hl=en-US"
"拓荒者 對 雷霆","2K+","November 6, 2025 at 10:50:00 AM UTC+8","November 6, 2025 at 7:30:00 PM UTC+8","拓荒者 對 雷霆","https://trends.google.com/trends/explore?q=%E6%8B%93%E8%8D%92%E8%80%85%20%E5%B0%8D%20%E9%9B%B7%E9%9C%86&geo=TW&hl=en-US"
"夏于喬","2K+","November 5, 2025 at 6:10:00 PM UTC+8","November 6, 2025 at 5:40:00 PM UTC+8","夏于喬","https://trends.google.com/trends/explore?q=%E5%A4%8F%E4%BA%8E%E5%96%AC&geo=TW&hl=en-US"
"玉山金暫停交易","5K+","November 5, 2025 at 9:10:00 AM UTC+8","November 6, 2025 at 7:20:00 AM UTC+8","玉山金暫停交易,玉山,三商壽,股票,富邦,三商,三商美邦,玉山金股價,玉山金股票,玉山金三商壽","https://trends.google.com/trends/explore?q=%E7%8E%89%E5%B1%B1%E9%87%91%E6%9A%AB%E5%81%9C%E4%BA%A4%E6%98%93&geo=TW&hl=en-US"
"元太","500+","November 10, 2025 at 10:00:00 AM UTC+8","November 10, 2025 at 2:50:00 PM UTC+8","元太","https://trends.google.com/trends/explore?q=%E5%85%83%E5%A4%AA&geo=TW&hl=en-US"
"騎士 對 公牛","1K+","November 9, 2025 at 9:30:00 AM UTC+8","November 9, 2025 at 3:20:00 PM UTC+8","騎士 對 公牛","https://trends.google.com/trends/explore?q=%E9%A8%8E%E5%A3%AB%20%E5%B0%8D%20%E5%85%AC%E7%89%9B&geo=TW&hl=en-US"
"馬斯克","1K+","November 7, 2025 at 12:20:00 AM UTC+8","November 9, 2025 at 7:20:00 AM UTC+8","馬斯克,intel 股價","https://trends.google.com/trends/explore?q=%E9%A6%AC%E6%96%AF%E5%85%8B&geo=TW&hl=en-US"
"ipac 是什麼","2K+","November 8, 2025 at 10:30:00 AM UTC+8","November 10, 2025 at 9:30:00 AM UTC+8","ipac 是什麼,yahoo新聞","https://trends.google.com/trends/explore?q=ipac%20%E6%98%AF%E4%BB%80%E9%BA%BC&geo=TW&hl=en-US"
"大湖之森步道","500+","November 9, 2025 at 2:50:00 PM UTC+8","November 10, 2025 at 9:40:00 AM UTC+8","大湖之森步道","https://trends.google.com/trends/explore?q=%E5%A4%A7%E6%B9%96%E4%B9%8B%E6%A3%AE%E6%AD%A5%E9%81%93&geo=TW&hl=en-US"
"f1直播","2K+","November 10, 2025 at 1:00:00 AM UTC+8","November 10, 2025 at 3:00:00 AM UTC+8","f1直播,f1 線上看,f1 直播,f1線上看,f1 live","https://trends.google.com/trends/explore?q=f1%E7%9B%B4%E6%92%AD&geo=TW&hl=en-US"
"龜山","500+","November 10, 2025 at 8:40:00 PM UTC+8","November 11, 2025 at 10:00:00 AM UTC+8","龜山","https://trends.google.com/trends/explore?q=%E9%BE%9C%E5%B1%B1&geo=TW&hl=en-US"
"美股","5K+","November 7, 2025 at 5:30:00 AM UTC+8","November 7, 2025 at 8:30:00 AM UTC+8","美股,美股新聞,美股大跌,美股盤後","https://trends.google.com/trends/explore?q=%E7%BE%8E%E8%82%A1&geo=TW&hl=en-US"
"快艇 對 雷霆","2K+","November 5, 2025 at 11:40:00 AM UTC+8","November 5, 2025 at 7:50:00 PM UTC+8","快艇 對 雷霆","https://trends.google.com/trends/explore?q=%E5%BF%AB%E8%89%87%20%E5%B0%8D%20%E9%9B%B7%E9%9C%86&geo=TW&hl=en-US"
"佳能","200+","November 11, 2025 at 10:30:00 AM UTC+8","November 11, 2025 at 1:30:00 PM UTC+8","佳能","https://trends.google.com/trends/explore?q=%E4%BD%B3%E8%83%BD&geo=TW&hl=en-US"
"新聞女王2","200+","November 11, 2025 at 8:50:00 PM UTC+8","November 11, 2025 at 9:30:00 PM UTC+8","新聞女王2,黃宗澤","https://trends.google.com/trends/explore?q=%E6%96%B0%E8%81%9E%E5%A5%B3%E7%8E%8B2&geo=TW&hl=en-US"
